s_dot_rec, ,gain, ,s_dot_des
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0

-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0

-0,*,0,=,-0
-0,*,0,=,-0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0
0,*,0,=,0

0,*,0,=,0
-0,*,0,=,-0
-0,*,0,=,-0
